EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorkedPrevious,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime_encoded,AgeGroup
1313919,41,No,Travel_Rarely,Cardiology,1,2,Life Sciences,2,Female,3,2,Nurse,4,Single,62927,8,Yes,11,3,1,0,8,0,1,6,4,0,5,1,36-45
1200302,49,No,Travel_Frequently,Maternity,8,1,Life Sciences,3,Male,2,2,Other,2,Married,53865,1,No,23,4,4,1,10,3,3,10,7,1,7,0,46-55
1060315,37,Yes,Travel_Rarely,Maternity,2,2,Other,4,Male,2,1,Nurse,3,Single,21945,6,Yes,15,3,2,0,7,3,3,0,0,0,0,1,36-45
1272912,33,No,Travel_Frequently,Maternity,3,4,Life Sciences,4,Female,3,1,Other,3,Married,30545,1,Yes,11,3,3,0,8,3,3,8,7,3,0,1,26-35
1414939,27,No,Travel_Rarely,Maternity,2,1,Medical,1,Male,3,1,Nurse,2,Married,36414,9,No,12,3,4,1,6,3,3,2,2,2,2,0,26-35
1633361,32,No,Travel_Frequently,Maternity,2,2,Life Sciences,4,Male,3,1,Nurse,4,Single,32214,0,No,13,3,3,0,8,2,2,7,7,3,6,0,26-35
1329390,59,No,Travel_Rarely,Maternity,3,3,Medical,3,Female,4,1,Nurse,1,Married,28035,4,Yes,20,4,1,3,12,3,2,1,0,0,0,1,56-65
1699288,30,No,Travel_Rarely,Maternity,24,1,Life Sciences,4,Male,3,1,Nurse,3,Divorced,28277,1,No,22,4,2,1,1,2,3,1,0,0,0,0,26-35
1469740,38,No,Travel_Frequently,Maternity,23,3,Life Sciences,4,Male,2,3,Therapist,3,Single,100023,0,No,21,4,2,0,10,2,3,9,7,1,8,0,36-45
1101291,36,No,Travel_Rarely,Maternity,27,3,Medical,3,Male,3,2,Nurse,3,Married,54989,6,No,13,3,2,2,17,3,2,7,7,7,7,0,36-45
1430504,35,No,Travel_Rarely,Maternity,16,3,Medical,1,Male,4,1,Nurse,2,Married,25473,0,No,13,3,3,1,6,5,3,5,4,0,3,0,26-35
1196281,29,No,Travel_Rarely,Maternity,15,2,Life Sciences,4,Female,2,2,Nurse,3,Single,44027,0,Yes,12,3,4,0,10,3,3,9,5,0,8,1,26-35
1207951,31,No,Travel_Rarely,Maternity,26,1,Life Sciences,1,Male,3,1,Other,3,Divorced,30566,1,No,17,3,4,1,5,1,2,5,2,4,3,0,26-35
1080660,34,No,Travel_Rarely,Maternity,19,2,Medical,2,Male,3,1,Nurse,4,Divorced,27941,0,No,11,3,3,1,3,2,3,2,2,1,2,0,26-35
1420391,28,Yes,Travel_Rarely,Maternity,24,3,Life Sciences,3,Male,2,1,Nurse,3,Single,21294,5,Yes,14,3,2,0,6,4,3,4,2,0,3,1,26-35
1337254,29,No,Travel_Rarely,Maternity,21,4,Life Sciences,2,Female,4,3,Therapist,1,Divorced,104790,1,No,11,3,3,1,10,1,3,10,9,8,8,0,26-35
1421335,32,No,Travel_Rarely,Maternity,5,2,Life Sciences,1,Male,4,1,Other,2,Divorced,34629,0,Yes,12,3,4,2,7,5,2,6,2,0,5,1,26-35
1262683,22,No,Non-Travel,Maternity,16,2,Medical,4,Male,4,1,Nurse,4,Divorced,30818,1,Yes,13,3,2,2,1,2,2,1,0,0,0,1,18-25
1599218,53,No,Travel_Rarely,Cardiology,2,4,Life Sciences,1,Female,2,4,Administrative,4,Married,161984,2,No,16,3,3,0,31,3,3,25,8,3,7,0,46-55
1634788,38,No,Travel_Rarely,Maternity,2,3,Life Sciences,4,Male,3,1,Other,4,Single,41412,5,Yes,11,3,3,0,6,3,3,3,2,1,2,1,36-45
1334559,24,No,Non-Travel,Maternity,11,2,Other,1,Female,4,2,Therapist,3,Divorced,42116,0,No,18,3,4,1,5,5,2,4,2,1,3,0,18-25
1402945,36,No,Travel_Rarely,Cardiology,9,4,Life Sciences,3,Male,2,1,Other,1,Single,35774,7,No,23,4,2,0,10,4,3,5,3,0,3,0,36-45
